file,title,definition,category,sub_category,def_cluster_400
./full_texts/10.1016/j.jmsy.2020.06.017/10.1016_j.jmsy.2020.06.017.json,Construction safety performance evaluation based on data envelopment analysis (DEA) from a hybrid perspective of cross-sectional and longitudinal,digital twin is a digital entity that reflects physical entity’s behavior rule and keeps updating through the whole lifecycle,manufacturing and industrial engineering,manufacturing and industrial engineering,287
./full_texts/10.1016/j.jmsy.2020.06.017/10.1016_j.jmsy.2020.06.017.json,Construction safety performance evaluation based on data envelopment analysis (DEA) from a hybrid perspective of cross-sectional and longitudinal,Digital twin is a possible replacer for ‘the cobbler’s mind’ in the current trend of products’ complexity and variability,manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'industrial internet', 'product lifecycle', 'additive manufacturing', 'process monitoring', 'predictive maintenance', 'reinforcement learning', 'edge computing']",200
./full_texts/10.1016/j.jmsy.2020.06.017/10.1016_j.jmsy.2020.06.017.json,Construction safety performance evaluation based on data envelopment analysis (DEA) from a hybrid perspective of cross-sectional and longitudinal,Digital twin is a concept that origins from product lifecycle management (PLM),manufacturing and industrial engineering,manufacturing and industrial engineering,160
./full_texts/10.1016/j.jmsy.2020.06.017/10.1016_j.jmsy.2020.06.017.json,Construction safety performance evaluation based on data envelopment analysis (DEA) from a hybrid perspective of cross-sectional and longitudinal,Digital twin is a real-time high-fidelity reflection of physical entities,manufacturing and industrial engineering,"['digital twin', 'product lifecycle']",59
./full_texts/10.1016/j.promfg.2020.05.132/10.1016_j.promfg.2020.05.132.json,Digital twin and big data-driven sustainable smart manufacturing based on information management systems for energy-intensive industries,Digital twin is a virtual representation of physical process,manufacturing and industrial engineering,"['digital twin', 'product lifecycle', 'process monitoring']",17
./full_texts/10.1016/j.ijpe.2021.108223/10.1016_j.ijpe.2021.108223.json,The Unreasonable Efficacy of Mathematics in Modern Economics,digital twin is defined as instance-oriented encapsulation,manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'blockchain', 'edge computing']",82
./full_texts/10.1016/j.ijpe.2021.108223/10.1016_j.ijpe.2021.108223.json,The Unreasonable Efficacy of Mathematics in Modern Economics,digital twin is defined as kernel-oriented encapsulation,manufacturing and industrial engineering,"['digital twin', 'blockchain']",82
./full_texts/10.1016/j.ijpe.2021.108223/10.1016_j.ijpe.2021.108223.json,The Unreasonable Efficacy of Mathematics in Modern Economics,digital twin is defined as container-oriented encapsulation,manufacturing and industrial engineering,manufacturing and industrial engineering,82
./full_texts/10.1016/j.ijpe.2021.108223/10.1016_j.ijpe.2021.108223.json,The Unreasonable Efficacy of Mathematics in Modern Economics,"digital twin is a complicated software entity and integrates a knowledge-intensive digital model that virtualizes and simulates the physical asset (Lu et al., 2020)",manufacturing and industrial engineering,manufacturing and industrial engineering,376
./full_texts/10.1016/j.egyai.2022.100213/10.1016_j.egyai.2022.100213.json,Blockchain-based digital twin sharing platform for reconfigurable socialized manufacturing resource integration,digital twin is a virtual depiction of a physical object or activity that serves as its digital version in real-time,manufacturing and industrial engineering,"['digital twin', 'machine learning', 'artificial intelligence', 'industrial internet', 'process monitoring']",120
./full_texts/10.1016/j.autcon.2021.104049/10.1016_j.autcon.2021.104049.json,Double-sided Linear Induction Motor Control Using Space Vector Pulse Width Modulation Technique,"digital twin is described as a virtual replica of an asset or system that is updated from real-time condition monitoring data and employs simulation, machine learning, and reasoning to ensure informed decision-making [41]",manufacturing and industrial engineering,manufacturing and industrial engineering,97
./full_texts/10.1016/j.promfg.2018.06.041/10.1016_j.promfg.2018.06.041.json,Framing strategy under high complexity: Processes and practices of ongoing reframing in the becoming of strategy,"Digital Twin is a comprehensive physical and functional representation of a component or product, which gathers all necessary information for its processing [11]",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'industrial internet', 'product lifecycle', 'additive manufacturing', 'process monitoring', 'predictive maintenance', 'reinforcement learning', 'edge computing']",77
./full_texts/10.1016/j.ifacol.2016.11.115/10.1016_j.ifacol.2016.11.115.json,Immersive Virtual Reality Onboarding using a Digital Twin for a New Clinical Space Expansion: A Novel Approach to Large-Scale Training for Health Care Providers,"Digital Twin is a counter part of the physical device, machine or product in a CPS",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'industrial internet', 'product lifecycle', 'additive manufacturing']",98
./full_texts/10.1016/j.solener.2023.111873/10.1016_j.solener.2023.111873.json,Integration of blockchain and edge computing in internet of things: A survey,"digital twin is a virtual representation of the physical microgrid system, including its components and their interactions",energy and environmental sciences,energy and environmental sciences,164
./full_texts/10.1016/j.imu.2022.100965/10.1016_j.imu.2022.100965.json,Multi-objective operation of solar-based microgrids incorporating artificial neural network and grey wolf optimizer in digital twin,digital twin is a virtual copy of a real-world physical object,healthcare and medical innovation,healthcare and medical innovation,91
./full_texts/10.1016/j.iotcps.2022.04.001/10.1016_j.iotcps.2022.04.001.json,Scoping new policy frameworks for local and community broadband networks,digital twin is a virtual replica that mimics the behaviour of an actual object or process throughout its existence,manufacturing and industrial engineering,[],99
./full_texts/10.1016/j.procir.2022.04.020/10.1016_j.procir.2022.04.020.json,Editorial Board,"Digital Twin is a significant additional effort, due to the creation of the underlying models and the relations between them",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'industrial internet', 'product lifecycle', 'additive manufacturing', 'process monitoring', 'predictive maintenance', 'reinforcement learning', 'edge computing']",149
./full_texts/10.1016/j.atech.2022.100094/10.1016_j.atech.2022.100094.json,Mapping regional surface water volume variation in reservoirs in northeastern Brazil during 2009–2017 using high-resolution satellite images,"Digital Twin is a representation of an active unique “product” which can be a real device, object, machine, service, intangible asset, or a system consisting of a product and its related services [14]",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'industrial internet', 'product lifecycle', 'additive manufacturing', 'process monitoring', 'predictive maintenance', 'reinforcement learning', 'edge computing']",371
./full_texts/10.1016/j.atech.2022.100094/10.1016_j.atech.2022.100094.json,Mapping regional surface water volume variation in reservoirs in northeastern Brazil during 2009–2017 using high-resolution satellite images,"Digital Twin is a powerful concept that has a promising future in agriculture, with current work covering a range of use-cases including crops, robotics and aquaponics, enabled through technologies including Internet-of-Things, Machine Learning and Cyber-Physical Systems [11]",agriculture and farm management,agriculture and farm management,93
./full_texts/10.1016/j.autcon.2023.105229/10.1016_j.autcon.2023.105229.json,When the road to academic success goes through the library: A case study at the University of Seville,"digital twin is a virtual replica of a physical object or system, a digital thread is a digital representation of the data processed throughout the entire lifecycle of a product or system [22]",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'industrial internet', 'product lifecycle', 'additive manufacturing', 'process monitoring']",18
./full_texts/10.1016/j.autcon.2023.105229/10.1016_j.autcon.2023.105229.json,When the road to academic success goes through the library: A case study at the University of Seville,digital twin is a virtual representation of a physical system that accurately depicts its current and past states in real-time using data gathered from sensors and physical models [24],construction and infrastructure,construction and infrastructure,32
./full_texts/10.1016/j.procs.2021.03.051/10.1016_j.procs.2021.03.051.json,Industrial IoT in 5G environment towards smart manufacturing,digital twin is defined as a computational model of an equipment or system that represents all the functional characteristics and links with the actual element,manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'industrial internet', 'product lifecycle', 'additive manufacturing', 'process monitoring', 'predictive maintenance', 'reinforcement learning', 'edge computing']",394
./full_texts/10.1016/j.procs.2021.03.051/10.1016_j.procs.2021.03.051.json,Industrial IoT in 5G environment towards smart manufacturing,digital twin is defined as a set of virtual information that fully describes a potential or actual physical output from the micro-atomic to the macro-geometric level,manufacturing and industrial engineering,manufacturing and industrial engineering,11
./full_texts/10.1016/j.procs.2021.03.051/10.1016_j.procs.2021.03.051.json,Industrial IoT in 5G environment towards smart manufacturing,digital twin is a digital representation of a physical element or assembly using integrated simulations and service data,manufacturing and industrial engineering,manufacturing and industrial engineering,106
./full_texts/10.1016/j.procs.2021.03.051/10.1016_j.procs.2021.03.051.json,Industrial IoT in 5G environment towards smart manufacturing,"digital twin is a virtual instance of a physical system that is continuously updated with performance, maintenance and health status data throughout the life cycle of the physical system",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'additive manufacturing']",13
./full_texts/10.1016/j.promfg.2017.07.197/10.1016_j.promfg.2017.07.197.json,Airborne Lidar-derived volume metrics for aboveground biomass estimation: A comparative assessment for conifer stands,"Digital Twin is a digital avatar encompassing CPS data and intelligence; it represents structure, semantics and behavior of the associated CPS, providing services to mesh the virtual and physical worlds",manufacturing and industrial engineering,manufacturing and industrial engineering,226
./full_texts/10.1016/j.procs.2023.10.209/10.1016_j.procs.2023.10.209.json,Effects of deformation stress mode on twin activation of CP-Ti wire through cryogenic non-circular drawing sequence,digital twin is a virtual model that accurately reflects a physical object or system,transportation and automotive industry,transportation and automotive industry,34
./full_texts/10.1016/j.compind.2022.103763/10.1016_j.compind.2022.103763.json,16 Terrorism A Global Perspective,"digital twins is a bidirectional digital connection permitting the digital twin to alter the configuration, behaviour, and operation of the physical twin",manufacturing and industrial engineering,['digital twin'],60
./full_texts/10.1016/j.cities.2020.103064/10.1016_j.cities.2020.103064.json,Young children's social and independent behavior during play with a coding app: Digital game features matter in a 1:1 child to tablet setting,"digital twin is a digital representation of a physical process, person, place, system or device",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'industrial internet', 'product lifecycle', 'additive manufacturing', 'process monitoring', 'predictive maintenance', 'reinforcement learning', 'edge computing']",3
./full_texts/10.1016/j.cities.2020.103064/10.1016_j.cities.2020.103064.json,Young children's social and independent behavior during play with a coding app: Digital game features matter in a 1:1 child to tablet setting,"digital twin is a pairing of the virtual and physical worlds that allows for analysis of data and monitoring of systems to head off problems before they occur, prevent downtime and can even be used to plan for the future using simulations (Boschert & Rosen, 2016)",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'industrial internet', 'product lifecycle', 'additive manufacturing', 'process monitoring', 'predictive maintenance', 'reinforcement learning', 'edge computing']",374
./full_texts/10.1016/j.future.2023.12.013/10.1016_j.future.2023.12.013.json,The role of statistics in data-centric engineering,Digital Twin is a set of virtual information constructs that fully describes a potential or actual physical manufactured product from the micro atomic level to the macro geometrical level,manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'industrial internet', 'product lifecycle', 'additive manufacturing', 'process monitoring', 'predictive maintenance', 'reinforcement learning', 'edge computing']",11
./full_texts/10.1016/j.ifacol.2022.09.689/10.1016_j.ifacol.2022.09.689.json,Are we accelerating equity investment into impact-oriented ventures?,"digital twin is a digital model that represents the SC network in real-time and provides end-to-end SC visibility (Ivanov et al., 2019)",manufacturing and industrial engineering,"['digital twin', 'machine learning']",40
./full_texts/10.1016/j.ifacol.2022.09.689/10.1016_j.ifacol.2022.09.689.json,Are we accelerating equity investment into impact-oriented ventures?,"digital twin is a igital mod l that represents the SC network in real-time and provides end-to-end SC visibility (Ivanov et l., 2019)",manufacturing and industrial engineering,"['digital twin', 'machine learning']",40
./full_texts/10.1016/j.ifacol.2022.09.689/10.1016_j.ifacol.2022.09.689.json,Are we accelerating equity investment into impact-oriented ventures?,"digital twin is a igital model that represents the SC network in real-time and provides end-to-end SC visibility (Ivanov et l., 2019)",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning']",40
./full_texts/10.1016/j.ijimpeng.2021.104058/10.1016_j.ijimpeng.2021.104058.json,"Rheological behavior of associating ionic polymers based on diallylammonium salts containing single-, twin-, and triple-tailed hydrophobes","digital twin is a cutting-edge technology that has received a lot of attention, which combines several technologies and tools, including Data transmission, collection and processing; Communication-Interaction technology; Modeling-Simulation technology; Sensing-Measurement technology [21]",manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'product lifecycle', 'process monitoring', 'predictive maintenance']",327
./full_texts/10.1016/j.jmsy.2020.08.007/10.1016_j.jmsy.2020.08.007.json,Manipulation of Objects with and without the Use of the Index Finger Implications for Digital Amputations,Digital twin is a modern solution to those ever-growing needs of digitalization,manufacturing and industrial engineering,manufacturing and industrial engineering,47
./full_texts/10.1016/j.jmsy.2020.08.007/10.1016_j.jmsy.2020.08.007.json,Manipulation of Objects with and without the Use of the Index Finger Implications for Digital Amputations,Digital twin is a modern solution to these ever-growing needs of digitalization,manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'machine learning', 'artificial intelligence', 'industrial internet', 'product lifecycle', 'additive manufacturing', 'process monitoring', 'predictive maintenance', 'reinforcement learning', 'edge computing']",47
./full_texts/10.1016/j.egyr.2023.09.023/10.1016_j.egyr.2023.09.023.json,Investigations of the high-performance source of digitally synthesized sinusoidal voltage for primary impedance metrology,"digital twin is a virtual representation of a physical asset to perform real-time modeling, simulations, and predictions for improved decision-making processes throughout its life cycle [5]",energy and environmental sciences,energy and environmental sciences,97
./full_texts/10.1016/j.iotcps.2023.04.004/10.1016_j.iotcps.2023.04.004.json,Switching behavior in the adoption of a land information system in China: A perspective of the push–pull–mooring framework,"digital twin is a hierarchical cyber-physical system and an interactive networked architecture, established by combining the model, data, and artificial intelligence technology (shown in Fig",manufacturing and industrial engineering,manufacturing and industrial engineering,309
./full_texts/10.1016/j.envsoft.2023.105868/10.1016_j.envsoft.2023.105868.json,Last-minute hotel-booking and frequency of dynamic price adjustments of hotel rooms in a cosmopolitan tourism city,"digital twin is a dynamic virtual model of a real-world physical system or process intended for real-time monitoring, decision support, and control (Rasheed et al., 2020; VanDerHorn and Mahadevan, 2021; Singh et al., 2021)",manufacturing and industrial engineering,['digital twin'],14
./full_texts/10.1016/j.adhoc.2023.103254/10.1016_j.adhoc.2023.103254.json,Evaluation of Machine Tool Digital Twin for machining operations in industrial environment,digital twin is a new technology that creates a digital replica of physical entities and analyzes system behavior by testing a set of decision-making strategies on simulations without actually implementing them,manufacturing and industrial engineering,"['digital twin', 'smart manufacturing', 'edge computing', 'blockchain']",105
